Postcode;Dorp/ Plaats;Gemeente;Provincie
9111;Burdaard;Noardeast-Fryslân;Friesland
9112;Burdaard;Noardeast-Fryslân;Friesland
9113;Wâlterswâld;Dantumadiel;Friesland
9114;Driezum;Dantumadiel;Friesland
9121;Aalsum;Noardeast-Fryslân;Friesland
9122;Wetsens;Noardeast-Fryslân;Friesland
9123;Metslawier;Noardeast-Fryslân;Friesland
9124;Jouswier;Noardeast-Fryslân;Friesland
9125;Oostrum;Noardeast-Fryslân;Friesland
9131;Ee;Noardeast-Fryslân;Friesland
9132;Engwierum;Noardeast-Fryslân;Friesland
9133;Anjum;Noardeast-Fryslân;Friesland
9134;Lioessens;Noardeast-Fryslân;Friesland
9135;Morra;Noardeast-Fryslân;Friesland
9136;Paesens;Noardeast-Fryslân;Friesland
9137;Oosternijkerk;Noardeast-Fryslân;Friesland
9138;Niawier;Noardeast-Fryslân;Friesland
9141;Wierum;Noardeast-Fryslân;Friesland
9142;Moddergat;Noardeast-Fryslân;Friesland
9143;Nes;Noardeast-Fryslân;Friesland
9144;Hantumhuizen;Noardeast-Fryslân;Friesland
9145;Ternaard;Noardeast-Fryslân;Friesland
9146;Hantumeruitburen;Noardeast-Fryslân;Friesland
9147;Hantum;Noardeast-Fryslân;Friesland
9148;Hiaure;Noardeast-Fryslân;Friesland
9150;Holwerd;Noardeast-Fryslân;Friesland
9151;Holwerd;Noardeast-Fryslân;Friesland
9152;Waaxens;Noardeast-Fryslân;Friesland
9153;Brantgum;Noardeast-Fryslân;Friesland
9154;Foudgum;Noardeast-Fryslân;Friesland
9155;Raard;Noardeast-Fryslân;Friesland
9156;Bornwird;Noardeast-Fryslân;Friesland
9160;Hollum;Ameland;Friesland
9161;Hollum;Ameland;Friesland
9162;Ballum;Ameland;Friesland
9163;Nes;Ameland;Friesland
9164;Buren;Ameland;Friesland
9166;Schiermonnikoog;Schiermonnikoog;Friesland
9171;Blije;Noardeast-Fryslân;Friesland
9172;Ferwert;Noardeast-Fryslân;Friesland
9173;Hegebeintum;Noardeast-Fryslân;Friesland
9174;Ginnum;Noardeast-Fryslân;Friesland
9175;Reitsum;Noardeast-Fryslân;Friesland
9176;Lichtaard;Noardeast-Fryslân;Friesland
9177;Jislum;Noardeast-Fryslân;Friesland
9178;Wânswert;Noardeast-Fryslân;Friesland
9200;Drachten;Smallingerland;Friesland
9201;Drachten;Smallingerland;Friesland
9202;Drachten;Smallingerland;Friesland
9203;Drachten;Smallingerland;Friesland
9204;Drachten;Smallingerland;Friesland
9205;Drachten;Smallingerland;Friesland
9206;Drachten;Smallingerland;Friesland
9207;Drachten;Smallingerland;Friesland
9211;Kortehemmen;Smallingerland;Friesland
9212;Boornbergum;Smallingerland;Friesland
9213;De Wilgen;Smallingerland;Friesland
9214;Smalle Ee;Smallingerland;Friesland
9215;De Veenhoop;Smallingerland;Friesland
9216;Oudega;Smallingerland;Friesland
9217;Nijega;Smallingerland;Friesland
9218;Opeinde;Smallingerland;Friesland
9219;De Tike;Smallingerland;Friesland
9221;Rottevalle;Smallingerland;Friesland
9222;Drachtstercompagnie;Smallingerland;Friesland
9223;Houtigehage;Smallingerland;Friesland
9230;Surhuisterveen;Achtkarspelen;Friesland
9231;Surhuisterveen;Achtkarspelen;Friesland
9233;Boelenslaan;Achtkarspelen;Friesland
9240;Wijnjewoude;Opsterland;Friesland
9241;Wijnjewoude;Opsterland;Friesland
9243;Bakkeveen;Opsterland;Friesland
9244;Beetsterzwaag;Opsterland;Friesland
9245;Nij Beets;Opsterland;Friesland
9246;Olterterp;Opsterland;Friesland
9247;Ureterp;Opsterland;Friesland
9248;Siegerswoude;Opsterland;Friesland
9249;Frieschepalen;Opsterland;Friesland
9250;Burgum;Tytsjerksteradiel;Friesland
9251;Burgum;Tytsjerksteradiel;Friesland
9254;Hurdegaryp;Tytsjerksteradiel;Friesland
9255;Tytsjerk;Tytsjerksteradiel;Friesland
9256;Ryptsjerk;Tytsjerksteradiel;Friesland
9257;Noardburgum;Tytsjerksteradiel;Friesland
9258;Jistrum;Tytsjerksteradiel;Friesland
9260;Eastermar;Tytsjerksteradiel;Friesland
9261;Eastermar;Tytsjerksteradiel;Friesland
9262;Sumar;Tytsjerksteradiel;Friesland
9263;Garyp;Tytsjerksteradiel;Friesland
9264;Earnewâld;Tytsjerksteradiel;Friesland
9265;Suwâld;Tytsjerksteradiel;Friesland
9269;Feanwâlden;Dantumadiel;Friesland
9270;De Westereen;Dantumadiel;Friesland
9271;De Westereen;Dantumadiel;Friesland
9280;Harkema;Achtkarspelen;Friesland
9281;Harkema;Achtkarspelen;Friesland
9283;Surhuizum;Achtkarspelen;Friesland
9284;Augustinusga;Achtkarspelen;Friesland
9285;Buitenpost;Achtkarspelen;Friesland
9286;Twijzel;Achtkarspelen;Friesland
9287;Twijzelerheide;Achtkarspelen;Friesland
9288;Kootstertille;Achtkarspelen;Friesland
9289;Drogeham;Achtkarspelen;Friesland
9290;Kollum;Noardeast-Fryslân;Friesland
9291;Kollum;Noardeast-Fryslân;Friesland
9292;Augsbuurt;Noardeast-Fryslân;Friesland
9293;Kollumerpomp;Noardeast-Fryslân;Friesland
9294;Oudwoude;Noardeast-Fryslân;Friesland
9295;Westergeest;Noardeast-Fryslân;Friesland
9296;Triemen;Noardeast-Fryslân;Friesland
9297;Veenklooster;Noardeast-Fryslân;Friesland
9298;Kollumerzwaag;Noardeast-Fryslân;Friesland
9299;Twijzelerheide;Achtkarspelen;Friesland
9300;Roden;Noordenveld;Drenthe
9301;Roden;Noordenveld;Drenthe
9302;Roden;Noordenveld;Drenthe
9304;Lieveren;Noordenveld;Drenthe
9305;Roderesch;Noordenveld;Drenthe
9306;Alteveer;Noordenveld;Drenthe
9307;Steenbergen;Noordenveld;Drenthe
9311;Nieuw-Roden;Noordenveld;Drenthe
9312;Nietap;Noordenveld;Drenthe
9313;Leutingewolde;Noordenveld;Drenthe
9314;Foxwolde;Noordenveld;Drenthe
9315;Roderwolde;Noordenveld;Drenthe
9320;Peize;Noordenveld;Drenthe
9321;Peize;Noordenveld;Drenthe
9330;Norg;Noordenveld;Drenthe
9331;Norg;Noordenveld;Drenthe
9333;Langelo;Noordenveld;Drenthe
9334;Peest;Noordenveld;Drenthe
9335;Zuidvelde;Noordenveld;Drenthe
9336;Huis ter Heide;Noordenveld;Drenthe
9337;Westervelde;Noordenveld;Drenthe
9341;Veenhuizen;Noordenveld;Drenthe
